term1;term2;sentence;is_cause;is_treat;source;prp_sent;sdp;sdp_joined
ISLET CELL NEOGENESIS;DIABETES;If islet cell tolerance could be re induced, a major clinical hurdle to curing DIABETES by ISLET CELL NEOGENESIS may be overcome.;1;0;CrowdTruth;If islet cell tolerance could be re induced, a major clinical hurdle to curing term2 by term1 may be overcome.;['term1', 'by', 'cure', 'term2'];term1 by cure term2
SKIN;DERMATOPHYTOSES;Between 1994 and 1998, a total of 790 feather, hair and SKIN specimens from a variety of animals with suspected DERMATOPHYTOSES were studied, of which 248 (31.4%) yielded dermatophytes.;1;0;CrowdTruth;Between 1994 and 1998, a total of 790 feather, hair and term1 specimens from a variety of animals with suspected term2 were studied, of which 248 (31.4%) yielded dermatophytes.;['term1', 'hair', 'feather', 'of', 'animal', 'with', 'term2'];term1 hair feather of animal with term2
CERVIX;CERVICAL INTRAEPITHELIAL NEOPLASIA (CIN I);Altogether, 1924 women were studied: 42.8% with a normal CERVIX 16.2% with CERVICAL INTRAEPITHELIAL NEOPLASIA (CIN I), 12.7% with CIN II, 20.8% with CIN III, and 7.6% with invasive cervical cancer (ICC.;1;0;CrowdTruth;Altogether, 1924 women were studied: 42.8% with a normal term1 16.2% with term2, 12.7% with CIN II, 20.8% with CIN III, and 7.6% with invasive cervical cancer (ICC.;['term1', 'with', 'term2'];term1 with term2
LIVER FAILURE;LIVER;"Protoporphyrins sometimes accumulate to toxic levels in the LIVER causing LIVER FAILURE; if this occurs, a liver transplant becomes necessary.";1;0;CrowdTruth;"Protoporphyrins sometimes accumulate to toxic levels in the term2 causing term1; if this occurs, a liver transplant becomes necessary.";['term1', 'cause', 'accumulate', 'to', 'level', 'in', 'term2'];term1 cause accumulate to level in term2
PATHOGENESIS OF RESIDUAL GASTRITIS;REFLUX TO THE STOMACH;Bile REFLUX TO THE STOMACH is believed as one of the important PATHOGENESIS OF RESIDUAL GASTRITIS however the prevention for bile reflux cannot always heal the gastritis.;1;0;CrowdTruth;Bile term2 is believed as one of the important term1 however the prevention for bile reflux cannot always heal the gastritis.;['term1', 'of', 'one', 'as', 'believe', 'term2'];term1 of one as believe term2
SKIN;GENERALIZED HIVES;"Acute onset of an illness (over minutes to several hours) involving the SKIN mucosal tissue, or both (e.g., GENERALIZED HIVES; pruritus or flushing; swollen lips, tongue, or uvula) and at least one of the following:  a.";1;0;CrowdTruth;"Acute onset of an illness (over minutes to several hours) involving the term1 mucosal tissue, or both (e.g., term2; pruritus or flushing; swollen lips, tongue, or uvula) and at least one of the following:  a.";['term1', 'tissue', ',', 'term2'];term1 tissue , term2
LOW BONE TURNOVER;LOW TURNOVER OSTEOMALACIA;In all centers, independent of the aluminum staining technique used, the extent of aluminum deposited in bone was greater in patients presenting with LOW BONE TURNOVER whether from LOW TURNOVER OSTEOMALACIA or adymic bone disease, than in the predomint hyperparathyroid bone disease.;1;0;CrowdTruth;In all centers, independent of the aluminum staining technique used, the extent of aluminum deposited in bone was greater in patients presenting with term1 whether from term2 or adymic bone disease, than in the predomint hyperparathyroid bone disease.;['term1', 'with', 'present', 'patient', 'in', 'disease', 'term2'];term1 with present patient in disease term2
RICKETS;WT BONE;WT BONE explanted into Hyp mice developed RICKETS and osteomalacia, but Hyp bone explanted into WT mice displayed persistent osteomalacia and abnormalities in the primary spongiosa, indicating that both phosphate and PHEX independently regulate extracellular matrix mineralization.;1;0;CrowdTruth;term2 explanted into Hyp mice developed term1 and osteomalacia, but Hyp bone explanted into WT mice displayed persistent osteomalacia and abnormalities in the primary spongiosa, indicating that both phosphate and PHEX independently regulate extracellular matrix mineralization.;['term1', 'develop', 'explante', 'term2'];term1 develop explante term2
BONE MARROW;LEUKEMIA;Short  and long term co cultures of 49 cases of human osteosarcoma cells with BONE MARROW or peripheral blood cells of patients with different types of LEUKEMIA were studied.;1;0;CrowdTruth;Short  and long term co cultures of 49 cases of human osteosarcoma cells with term1 or peripheral blood cells of patients with different types of term2 were studied.;['term1', 'with', 'case', 'of', 'term2'];term1 with case of term2
HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH;MASTOCYTOSIS;MASTOCYTOSIS is a heterogeneous group of disorders characterized by mast cell HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH nodes, gastrointestil tract, and skin.;1;0;CrowdTruth;term2 is a heterogeneous group of disorders characterized by mast cell term1 nodes, gastrointestil tract, and skin.;['term1', 'node', 'by', 'characterize', 'group', 'be', 'term2'];term1 node by characterize group be term2
BRAIN;EPILEPSY;Many similarities exist between cerebral ischemia and EPILEPSY regarding BRAIN-damaging and auto-protective mechanisms that are activated following the injurious insult;1;0;CrowdTruth;Many similarities exist between cerebral ischemia and term2 regarding term1-damaging and auto-protective mechanisms that are activated following the injurious insult;['term1', 'damaging', 'and', 'ischemia', 'term2'];term1 damaging and ischemia term2
INFLAMMATORY BOWEL DISEASES;ULCERATIVE COLITIS;29  Inflammatory bowel disease   Typically, INFLAMMATORY BOWEL DISEASES (e.g., ULCERATIVE COLITIS and Crohn disease) produce inflammatory diarrhea, with blood and pus in the stool.;1;0;CrowdTruth;29  Inflammatory bowel disease   Typically, term1 (e.g., term2 and Crohn disease) produce inflammatory diarrhea, with blood and pus in the stool.;['term1', 'produce', 'term2'];term1 produce term2
LUNGS;LUNG CANCER;The distribution of ferruginous bodies in the LUNGS of ten LUNG CANCER patients with definite occupatiol history of asbestos exposure and the kind of core fibers in the center of the ferruginous bodies were evaluated.;1;0;CrowdTruth;The distribution of ferruginous bodies in the term1 of ten term2 patients with definite occupatiol history of asbestos exposure and the kind of core fibers in the center of the ferruginous bodies were evaluated.;['term1', 'of', 'patient', 'term2'];term1 of patient term2
LYMPHANGIOMA;LYMPH VESSELS;In the oral cavity, LYMPHANGIOMA is a rare, non odontogenic, benign neoplasm which origites from LYMPH VESSELS;1;0;CrowdTruth;In the oral cavity, term1 is a rare, non odontogenic, benign neoplasm which origites from term2;['term1', 'be', 'neoplasm', 'origite', 'from', 'term2'];term1 be neoplasm origite from term2
BONE MARROW;CHRONIC EOSINOPHILIC LEUKAEMIA;"A diagnosis of CHRONIC EOSINOPHILIC LEUKAEMIA was made on the basis of myeloproliferative involvement of both peripheral blood and BONE MARROW, associated with eosinophilic differentiation and a t(5;12)(q33;p13) translocation";1;0;CrowdTruth;"A diagnosis of term2 was made on the basis of myeloproliferative involvement of both peripheral blood and term1, associated with eosinophilic differentiation and a t(5;12)(q33;p13) translocation";['term1', 'blood', 'of', 'term2'];term1 blood of term2
BONE;OSTEOMYELITIS;In a 5 1/2 year retrospective study of hospitalized children with OSTEOMYELITIS who had technetium BONE scans, we found that 32 of 38 (84%) had increased radionuclide uptake, 4 (11%) had normal uptake and 2 (5%) had decreased uptake.;1;0;CrowdTruth;In a 5 1/2 year retrospective study of hospitalized children with term2 who had technetium term1 scans, we found that 32 of 38 (84%) had increased radionuclide uptake, 4 (11%) had normal uptake and 2 (5%) had decreased uptake.;['term1', 'scan', 'have', 'study', 'with', 'term2'];term1 scan have study with term2
FREE LUNG CELLS;BRONCHIAL CARCINOMA;"Such studies are of particular interest in patients with recurrent chest infections, to detect abnormalities of local cellular immunity; in pulmory fibrosis to assess activity of the disease and effect of treatment by observing morphology and testing function of FREE LUNG CELLS; and in BRONCHIAL CARCINOMA to investigate local immune responses to the tumour.";1;0;CrowdTruth;"Such studies are of particular interest in patients with recurrent chest infections, to detect abnormalities of local cellular immunity; in pulmory fibrosis to assess activity of the disease and effect of treatment by observing morphology and testing function of term1; and in term2 to investigate local immune responses to the tumour.";['term1', 'of', 'interest', 'in', 'term2'];term1 of interest in term2
PATHOLOGICAL LUNG HALLMARK;DISEASE (CBD) AND PULMORY SARCOIDOSIS ARE TWO DISTINCT;Chronic beryllium DISEASE (CBD) AND PULMORY SARCOIDOSIS ARE TWO DISTINCT chronic disorders, sharing the PATHOLOGICAL LUNG HALLMARK of the non caseating granuloma and the immunological feature of T cell activation at the site of disease.;1;0;CrowdTruth;Chronic beryllium term2 chronic disorders, sharing the term1 of the non caseating granuloma and the immunological feature of T cell activation at the site of disease.;['term1', 'share', 'disorder', 'term2'];term1 share disorder term2
HYPOTHYROIDISM;OVERT PRIMARY THYROID FAILURE;progression to overt hypothyroidism or hyperthyroidism in female relatives of patients with autoimmune thyroid disease using the Thyroid Events Amsterdam (THEA) score  Subclinical hypothyroidism and functiol mobility in older adults  British Medical Jourl  Serum thyroid stimulating hormone in assessment of severity of tissue hypothyroidism in patients with OVERT PRIMARY THYROID FAILURE: cross sectiol survey  Disorders of sodium balance  Cancer  HYPOTHYROIDISM: a frequent event after radiotherapy and after radiotherapy with chemotherapy for patients with head and neck carcinoma  Jourl of the American Medical Association  Radiation dose response relationships for thyroid nodules and autoimmune thyroid diseases in.;1;0;CrowdTruth;progression to overt hypothyroidism or hyperthyroidism in female relatives of patients with autoimmune thyroid disease using the Thyroid Events Amsterdam (THEA) score  Subclinical hypothyroidism and functiol mobility in older adults  British Medical Jourl  Serum thyroid stimulating hormone in assessment of severity of tissue hypothyroidism in patients with term2: cross sectiol survey  Disorders of sodium balance  Cancer  term1: a frequent event after radiotherapy and after radiotherapy with chemotherapy for patients with head and neck carcinoma  Jourl of the American Medical Association  Radiation dose response relationships for thyroid nodules and autoimmune thyroid diseases in.;['term1', 'Disorders', 'score', 'progression', 'with', 'term2'];term1 Disorders score progression with term2
SKIN CONDITIONS;ACTINIC KERATOSIS;The sap of the plant Euphorbia peplus is a traditiol remedy for SKIN CONDITIONS including ACTINIC KERATOSIS;1;0;CrowdTruth;The sap of the plant Euphorbia peplus is a traditiol remedy for term1 including term2;['term1', 'for', 'remedy', 'include', 'term2'];term1 for remedy include term2
MEDULLOBLASTOMAS;CENTRAL NERVOUS SYSTEM;CENTRAL NERVOUS SYSTEM (CNS) embryol tumors are devastating cancers in children, consisting of MEDULLOBLASTOMAS CNS primitive neuroectodermal tumors, and atypical teratoid/rhabdoid tumors.;1;0;CrowdTruth;term2 (CNS) embryol tumors are devastating cancers in children, consisting of term1 CNS primitive neuroectodermal tumors, and atypical teratoid/rhabdoid tumors.;['term1', 'tumor', 'term2'];term1 tumor term2
INVOLVEMENT OF THE SKIN AND MUCOSA;DERMATOSES (ECZEMA NEURODERMATITIS PSORIASIS PEMPHIGUS ETC);Clinical and laboratory examitions of 250 patients with chronic DERMATOSES (ECZEMA NEURODERMATITIS PSORIASIS PEMPHIGUS ETC) have revealed secondary candidal INVOLVEMENT OF THE SKIN AND MUCOSA in 121 (46.6%.;1;0;CrowdTruth;Clinical and laboratory examitions of 250 patients with chronic term2 have revealed secondary candidal term1 in 121 (46.6%.;['term1', 'reveal', 'examition', 'of', 'patient', 'with', 'term2'];term1 reveal examition of patient with term2
MULTIFOCAL LEUKOENCEPHALOPATHY;BRAIN;Neurotropic JC virus reaches the BRAIN and causes progressive MULTIFOCAL LEUKOENCEPHALOPATHY a demyeliting disease of the central nervous system with a high mortality rate.;1;0;CrowdTruth;Neurotropic JC virus reaches the term2 and causes progressive term1 a demyeliting disease of the central nervous system with a high mortality rate.;['term1', 'cause', 'reach', 'term2'];term1 cause reach term2
LIVERS;CHRONIC HEPATITIS;A variety of liver diseases including CHRONIC HEPATITIS and cirrhosis were seen in the LIVERS of a majority of the ducks from Chi tung.;1;0;CrowdTruth;A variety of liver diseases including term2 and cirrhosis were seen in the term1 of a majority of the ducks from Chi tung.;['term1', 'of', 'disease', 'include', 'term2'];term1 of disease include term2
JOINTS;ARTHRITIS;ARTHRITIS developed in all JOINTS in which the prosthesis elongated or broke.;1;0;CrowdTruth;term2 developed in all term1 in which the prosthesis elongated or broke.;['term1', 'in', 'develop', 'term2'];term1 in develop term2
LIVER BIOPSY SPECIMEN;CHRONIC HEPATITIS;In addition to the characterization of the degree of inflammation and fibrosis, the evaluation of a LIVER BIOPSY SPECIMEN from a patient with CHRONIC HEPATITIS includes a description of all of the findings present (e.g., steatosis, bile duct changes, granulomas, type of inflammatory cells, presence of iron, and Mallory hyaline) or a notation of their absence.;1;0;CrowdTruth;In addition to the characterization of the degree of inflammation and fibrosis, the evaluation of a term1 from a patient with term2 includes a description of all of the findings present (e.g., steatosis, bile duct changes, granulomas, type of inflammatory cells, presence of iron, and Mallory hyaline) or a notation of their absence.;['term1', 'a', 'patient', 'with', 'term2'];term1 a patient with term2
PATELLO FEMORAL JOINT;ARTHROSIS OF THE KNEE;The progressive radiological changes in the PATELLO FEMORAL JOINT after upper tibial osteotomy performed for ARTHROSIS OF THE KNEE were studied more than 10 years after the surgical procedure.;1;0;CrowdTruth;The progressive radiological changes in the term1 after upper tibial osteotomy performed for term2 were studied more than 10 years after the surgical procedure.;['term1', 'in', 'change', 'perform', 'for', 'term2'];term1 in change perform for term2
END STAGE LIVER DISEASE;ALCOHOLIC CIRRHOSIS;SEE:   liver    liver transplantation    The surgical implantation of a donor liver into a patient with END STAGE LIVER DISEASE whether it is caused by ALCOHOLIC CIRRHOSIS chronic cholestatic diseases, chronic or fulmint hepatitis, or toxic liver destruction.;1;0;CrowdTruth;SEE:   liver    liver transplantation    The surgical implantation of a donor liver into a patient with term1 whether it is caused by term2 chronic cholestatic diseases, chronic or fulmint hepatitis, or toxic liver destruction.;['term1', 'with', 'patient', 'into', 'implantation', 'cause', 'by', 'disease', 'term2'];term1 with patient into implantation cause by disease term2
SKIN;BENIGN MUCOUS MEMBRANE PEMPHIGOID;BENIGN MUCOUS MEMBRANE PEMPHIGOID (BMMP) is characterized by immunoglobulin deposits along the basal zone of the SKIN and mucous membranes, leading to blistering erosions of the involved regions.;1;0;CrowdTruth;term2 (BMMP) is characterized by immunoglobulin deposits along the basal zone of the term1 and mucous membranes, leading to blistering erosions of the involved regions.;['term1', 'of', 'zone', 'along', 'deposit', 'by', 'characterize', 'term2'];term1 of zone along deposit by characterize term2
THE BASAL JOINT OF THE THUMB;ARTHRITIS;The senior author has performed the Swanson implant arthroplasty for ARTHRITIS of THE BASAL JOINT OF THE THUMB for the past 12 years.;1;0;CrowdTruth;The senior author has performed the Swanson implant arthroplasty for term2 of term1 for the past 12 years.;['term1', 'of', 'term2'];term1 of term2
HEPATOCELLULAR CARCINOMA;LIVER;Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discrimite it from benign diseases involving the LIVER and biliary tract.;1;0;CrowdTruth;Therefore, although serum P III P can be a useful marker in term1 it may possibly be difficult to discrimite it from benign diseases involving the term2 and biliary tract.;['term1', 'in', 'marker', 'be', 'discrimite', 'from', 'disease', 'involve', 'tract', 'term2'];term1 in marker be discrimite from disease involve tract term2
BONE MARROW;MYELOGENOUS LEUKEMIA;This study shows that both recombint human interleukin (rhIL)3 and rhIL4 induced proliferation in BONE MARROW (BM) cells of MYELOGENOUS LEUKEMIA patients in a manner similar to that reported using normal BM cells.;1;0;CrowdTruth;This study shows that both recombint human interleukin (rhIL)3 and rhIL4 induced proliferation in term1 (BM) cells of term2 patients in a manner similar to that reported using normal BM cells.;['term1', 'cell', 'of', 'patient', 'term2'];term1 cell of patient term2
PSORIASIS;PRIMARY SKIN DISEASES;On the other hand PRIMARY SKIN DISEASES such as PSORIASIS atopic dermatitis, acune vulgaris, chronic idiopathic urticaria and alopecia areata may induce psychologic features.;1;0;CrowdTruth;On the other hand term2 such as term1 atopic dermatitis, acune vulgaris, chronic idiopathic urticaria and alopecia areata may induce psychologic features.;['term1', 'dermatitis', 'as', 'term2'];term1 dermatitis as term2
EPITHELIAL OVARIAN CANCER;OVARIES;EPITHELIAL OVARIAN CANCER (EOC) arises from the epithelial layer covering the surface of OVARIES and i.p.;1;0;CrowdTruth;term1 (EOC) arises from the epithelial layer covering the surface of term2 and i.p.;['term1', 'arise', 'from', 'layer', 'the', 'surface', 'of', 'term2'];term1 arise from layer the surface of term2
LUNG CANCERS;NON SMALL CELL LUNG CANCER;Human LUNG CANCERS are divided into small cell lung cancer (SCLC) and NON SMALL CELL LUNG CANCER (NSCLC) based on established criteria.;1;0;CrowdTruth;Human term1 are divided into small cell lung cancer (SCLC) and term2 (NSCLC) based on established criteria.;['term1', 'divide', 'into', 'cancer', 'term2'];term1 divide into cancer term2
HAIR LOSS;ALOPECIA AREATA;Prognosis  In most cases that begin with a small number of patches of hair loss, hair grows back after a few months to a year.[8] In cases with a greater number of patches, hair can either grow back or progress to alopecia totalis or, in rare cases, universalis.[8]  Effects of ALOPECIA AREATA are mainly psychological (loss of self image due to HAIR LOSS.;1;0;CrowdTruth;Prognosis  In most cases that begin with a small number of patches of hair loss, hair grows back after a few months to a year.[8] In cases with a greater number of patches, hair can either grow back or progress to alopecia totalis or, in rare cases, universalis.[8]  Effects of term2 are mainly psychological (loss of self image due to term1.;['term1', 'due', 'loss', 'of', 'term2'];term1 due loss of term2
SKIN LESIONS;DRUG INDUCED DERMATITIS;Skin biopsies from eight patients with DRUG INDUCED DERMATITIS have been compared with skin biopsies from 16 patients developing SKIN LESIONS (acute graft versus host reaction and/or drug induced reaction) after bone marrow transplantation.;1;0;CrowdTruth;Skin biopsies from eight patients with term2 have been compared with skin biopsies from 16 patients developing term1 (acute graft versus host reaction and/or drug induced reaction) after bone marrow transplantation.;['term1', 'develop', 'patient', 'with', 'term2'];term1 develop patient with term2
JOINTS;OSTEOARTHRITIS;It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS;1;0;CrowdTruth;It is said that the term1 of the affected limb by poliomyelitis are protected from the development of term2;['term1', 'of', 'term2'];term1 of term2
UTERINE CERVIX;CANCER OF THE CERVIX;Persistent infection of the UTERINE CERVIX with high risk human papillomaviruses (HPV) is causally associated with CANCER OF THE CERVIX;1;0;CrowdTruth;Persistent infection of the term1 with high risk human papillomaviruses (HPV) is causally associated with term2;['term1', 'of', 'infection', 'with', 'term2'];term1 of infection with term2
PROSTATES;PROSTATIC CARCINOMAS;We investigate the presence of HPV in 60 prostatic benign hyperplasias and in 5 PROSTATIC CARCINOMAS in surgically resected PROSTATES by PCR technique using consensus and type specific primers.;1;0;CrowdTruth;We investigate the presence of HPV in 60 prostatic benign hyperplasias and in 5 term2 in surgically resected term1 by PCR technique using consensus and type specific primers.;['term1', 'in', 'term2'];term1 in term2
EPILEPSY;BRAIN;In the present study, the influence of organic alterations in the BRAIN on the age of manifestation of EPILEPSY was investigated by means of cranial computer tomography (CCT) in 307 children and adolescents.;1;0;CrowdTruth;In the present study, the influence of organic alterations in the term2 on the age of manifestation of term1 was investigated by means of cranial computer tomography (CCT) in 307 children and adolescents.;['term1', 'of', 'influence', 'in', 'term2'];term1 of influence in term2
LIVERS;CIRRHOSIS;"In chronic active hepatitis of viral (132 cases) and autoimmune etiology livers (20 cases) with or without cirrhosis, the incidence of membranous expression of Lewis Y in clustered hepatocytes of viral and autoimmune etiology LIVERS was 21 and 0% of mild chronic active hepatitis; 69 and 25% of moderate degree; 85 and 50% of severe degree; and 87 and 100% of CIRRHOSIS respectively.";1;0;CrowdTruth;"In chronic active hepatitis of viral (132 cases) and autoimmune etiology livers (20 cases) with or without cirrhosis, the incidence of membranous expression of Lewis Y in clustered hepatocytes of viral and autoimmune etiology term1 was 21 and 0% of mild chronic active hepatitis; 69 and 25% of moderate degree; 85 and 50% of severe degree; and 87 and 100% of term2 respectively.";['term1', 'incidence', 'of', 'term2'];term1 incidence of term2
BONE;OSTEOPOROSIS;OSTEOPOROSIS medications can exert favorable effects on BONE size and cortical thickness.;1;0;CrowdTruth;term2 medications can exert favorable effects on term1 size and cortical thickness.;['term1', 'size', 'on', 'effect', 'exert', 'medication', 'term2'];term1 size on effect exert medication term2
DISEASE OF THE SKIN AND MUCOUS MEMBRANES;PEMPHIGUS VULGARIS;PEMPHIGUS VULGARIS is an autoimmune blistering DISEASE OF THE SKIN AND MUCOUS MEMBRANES that is caused by anti desmoglein 3 IgG autoantibodies.;1;0;CrowdTruth;term2 is an autoimmune blistering term1 that is caused by anti desmoglein 3 IgG autoantibodies.;['term1', 'blister', 'be', 'term2'];term1 blister be term2
PANCREATIC ISLETS;STREPTOZOTOCIN INDUCED DIABETES;The ability of PANCREATIC ISLETS implanted into abdomil muscle to effect a recovery from STREPTOZOTOCIN INDUCED DIABETES was compared with that of i.p implants.;1;0;CrowdTruth;The ability of term1 implanted into abdomil muscle to effect a recovery from term2 was compared with that of i.p implants.;['term1', 'of', 'implant', 'effect', 'recovery', 'from', 'term2'];term1 of implant effect recovery from term2
CRANIAL NERVES;NEURO OPHTHALMOLOGIC AND CRANIAL NERVE DISORDERS;PERIPHERAL NERVOUS SYSTEM DISORDERS  INTRODUCTION  The peripheral nervous system refers to the CRANIAL NERVES (see  NEURO OPHTHALMOLOGIC AND CRANIAL NERVE DISORDERS and spil nerves from their origin to their end.;1;0;CrowdTruth;PERIPHERAL NERVOUS SYSTEM DISORDERS  INTRODUCTION  The peripheral nervous system refers to the term1 (see  term2 and spil nerves from their origin to their end.;['term1', 'to', 'see', 'term2'];term1 to see term2
CHRONIC GRANULOCYTIC LEUKEMIA CELLS;BONE MARROW CELLS;By contrast, CHRONIC GRANULOCYTIC LEUKEMIA CELLS as well as normal BONE MARROW CELLS lymphocytes, and monocytes, contain predomintly low molecular weight (less than 95 kDa) tyrosine kise substrates.;1;0;CrowdTruth;By contrast, term1 as well as normal term2 lymphocytes, and monocytes, contain predomintly low molecular weight (less than 95 kDa) tyrosine kise substrates.;['term1', 'lymphocyte', 'term2'];term1 lymphocyte term2
MALIGNCY OF THE KIDNEY;WILMS' TUMOR;WILMS' TUMOR is a pediatric MALIGNCY OF THE KIDNEY;1;0;CrowdTruth;term2 is a pediatric term1;['term1', 'be', 'term2'];term1 be term2
ISLET CELLS;ISLET CELL TUMORS;"Neuron specific enolase was localized in nerve fibers, normal ISLET CELLS and islet cell tumors; its concentration was elevated only in the tissue of ISLET CELL TUMORS and in serum from patients with insulinoma.";1;0;CrowdTruth;"Neuron specific enolase was localized in nerve fibers, normal term1 and islet cell tumors; its concentration was elevated only in the tissue of term2 and in serum from patients with insulinoma.";['term1', 'fiber', 'in', 'tissue', 'of', 'term2'];term1 fiber in tissue of term2
ARTHROSIS;OVERUSED JOINTS;In each case, abnormal biomechanics were caused by or associated with arthritis or ARTHROSIS due to advanced age or OVERUSED JOINTS;1;0;CrowdTruth;In each case, abnormal biomechanics were caused by or associated with arthritis or term1 due to advanced age or term2;['term1', 'arthritis', 'or', 'age', 'term2'];term1 arthritis or age term2
CONTRALATERAL TESTIS;TESTICULAR GERM CELL CANCER;CIS is found in the CONTRALATERAL TESTIS in 5% of the patients with TESTICULAR GERM CELL CANCER;1;0;CrowdTruth;CIS is found in the term1 in 5% of the patients with term2;['term1', 'in', 'find', 'with', 'term2'];term1 in find with term2
KOHLER'S BONE DISEASE;OSTEOCHONDROSIS OF THE TARSAL;KOHLER'S BONE DISEASE  KOHLER'S BONE DISEASE is OSTEOCHONDROSIS OF THE TARSAL vicular bone.;1;0;CrowdTruth;term1  term1 is term2 vicular bone.;['term1', 'be', 'bone', 'term2'];term1 be bone term2
EVEN WHEN THE THYROID GLAND IS OUTSIDE OF;OF RADIATION INDUCED THYROID CANCER;Because of the extreme sensitivity of the thyroid gland in children, there is a risk OF RADIATION INDUCED THYROID CANCER EVEN WHEN THE THYROID GLAND IS OUTSIDE OF the irradiated field.;1;0;CrowdTruth;Because of the extreme sensitivity of the thyroid gland in children, there is a risk term2 term1 the irradiated field.;['term1', 'term2'];term1 term2
OSTEOGENESIS IMPERFECTA;LOW BONE MASS;OSTEOGENESIS IMPERFECTA (OI) is a genetic disorder of increased bone fragility and LOW BONE MASS Severity varies widely, ranging from intrauterine fractures and perital lethality to very mild forms without fractures.;1;0;CrowdTruth;term1 (OI) is a genetic disorder of increased bone fragility and term2 Severity varies widely, ranging from intrauterine fractures and perital lethality to very mild forms without fractures.;['term1', 'be', 'vary', 'Severity', 'term2'];term1 be vary Severity term2
HAIR FOLLICLES;BENIGN FOLLICULAR TUMORS;However, the deeper portions of HAIR FOLLICLES were also found to be unlabeled, and further study of BENIGN FOLLICULAR TUMORS which may histologically mimic basal cell carcinomas is suggested;1;0;CrowdTruth;However, the deeper portions of term1 were also found to be unlabeled, and further study of term2 which may histologically mimic basal cell carcinomas is suggested;['term1', 'of', 'term2'];term1 of term2
KIDNEYS;REL CELL CARCINOMA;Posttransplant REL CELL CARCINOMA (RCC) usually arises in the tive KIDNEYS of rel transplant recipients rather than in the transplanted kidney.;1;0;CrowdTruth;Posttransplant term2 (RCC) usually arises in the tive term1 of rel transplant recipients rather than in the transplanted kidney.;['term1', 'in', 'arise', 'term2'];term1 in arise term2
ESOPHAGUS;ESOPHAGEAL CANCER;Since 1982, three patients with ESOPHAGEAL CANCER complicated with pulmory bullae have been treated by operation on the ESOPHAGUS and lung in one performance: In all the patients, the bullae were on the same side of the operation.;1;0;CrowdTruth;Since 1982, three patients with term2 complicated with pulmory bullae have been treated by operation on the term1 and lung in one performance: In all the patients, the bullae were on the same side of the operation.;['term1', 'the', 'patient', 'with', 'term2'];term1 the patient with term2
CONSTITUENTS IN OSTEOPOROTIC BONE RELATIVE TO CONTROLS;OSTEOPOROSIS;The alterations found in bone matrix CONSTITUENTS IN OSTEOPOROTIC BONE RELATIVE TO CONTROLS suggest that in OSTEOPOROSIS and fractures, not only bone mass changes, but also bone quality changes play a role in bone strength.;1;0;CrowdTruth;The alterations found in bone matrix term1 suggest that in term2 and fractures, not only bone mass changes, but also bone quality changes play a role in bone strength.;['term1', 'suggest', 'play', 'in', 'term2'];term1 suggest play in term2
SKIN;VITILIGO;? An artificial tanning preparation containing dihydroxyacetone (DHA) to help mask the extent of vitiligo for several days (most appropriate for skin with a yellow hue) ? Cosmetic tattooing in darker skinned patients with localized, stable vitiligo in whom repigmentation is unlikely (most effective for involvement of the lips) ? Recommend regular sunscreen use in all vitiligo patients, both to prevent burning of depigmented areas and to prevent tanning of normally pigmented skin and the resulting enhancement of contrast between VITILIGO patches and normal SKIN.;1;0;CrowdTruth;? An artificial tanning preparation containing dihydroxyacetone (DHA) to help mask the extent of vitiligo for several days (most appropriate for skin with a yellow hue) ? Cosmetic tattooing in darker skinned patients with localized, stable vitiligo in whom repigmentation is unlikely (most effective for involvement of the lips) ? Recommend regular sunscreen use in all vitiligo patients, both to prevent burning of depigmented areas and to prevent tanning of normally pigmented skin and the resulting enhancement of contrast between term2 patches and normal term1.;['term1', 'patch', 'term2'];term1 patch term2
BONE MINERAL METABOLISM;OSTEOPOROSIS;Our results indicate, for the first time, an association between Graves' disease and a VDR polymorphism in the Japanese and suggest that a VDR FokI polymorphism may affect BONE MINERAL METABOLISM and can predict risk of OSTEOPOROSIS as a complication of Graves' disease in patients in remission.;1;0;CrowdTruth;Our results indicate, for the first time, an association between Graves' disease and a VDR polymorphism in the Japanese and suggest that a VDR FokI polymorphism may affect term1 and can predict risk of term2 as a complication of Graves' disease in patients in remission.;['term1', 'affect', 'predict', 'risk', 'of', 'term2'];term1 affect predict risk of term2
HEPATOCELLULAR CARCINOMA;HYPERTHERMIA;In view of acceptable toxicities and the current rate of survival, further evaluation of combined treatment of radiotherapy and HYPERTHERMIA for unresectable HEPATOCELLULAR CARCINOMA is warranted.;1;0;CrowdTruth;In view of acceptable toxicities and the current rate of survival, further evaluation of combined treatment of radiotherapy and term2 for unresectable term1 is warranted.;['term1', 'for', 'evaluation', 'of', 'radiotherapy', 'term2'];term1 for evaluation of radiotherapy term2
