,term1,term2,sentence,is_cause,is_treat
4770,POSTMENOPAUSAL BLEEDING,ENDOMETRIAL CANCER,The single most common cause leading to the diagnosis of ENDOMETRIAL CANCER is POSTMENOPAUSAL BLEEDING,0,1
4771,HYPERTENSION,PHEOCHROMOCYTOMA,"On questioning patient had episodic palpitations, flushing and HYPERTENSION suggestive of PHEOCHROMOCYTOMA",0,1
4772,SOLID PATTERN,INVASIVE DUCTAL CARCINOMA,"The INVASIVE DUCTAL CARCINOMA showed a SOLID PATTERN, high nuclear and structural atypia and frequent mitotic figures, while the tubular adenoma consisted of a proliferation of small ducts lined by single layers of epithelial and myoepithelial cells with bland nuclei and inconspicuous nucleoli",0,1
4773,PATHOLOGICAL FRACTURES,BONE METASTASES,"In addition to improving the morbidity of acute hypercalcemia, bisphosphote therapy has been shown to reduce bone pain and PATHOLOGICAL FRACTURES in patients with BONE METASTASES, and calcitonin also has a potent algesic effect in these patients",0,1
4774,HYPERTENSION,PHEOCHROMOCYTOMA,Evidence: ? Vigilant intraoperative magement of HYPERTENSION is essential during resection of PHEOCHROMOCYTOMA,0,1
4775,DISSEMITED INTRAVASCULAR COAGULATION,ACUTE PROMYELOCYTIC LEUKEMIA,"Other thrombotic conditions occur in association with specific disorders, such as thrombotic thrombocytopenic purpura in hematopoietic stem cell transplantation and DISSEMITED INTRAVASCULAR COAGULATION in ACUTE PROMYELOCYTIC LEUKEMIA",0,1
4776,ASCITES,SEROUS CYSTADENOCARCINOMA OF THE OVARY,An established cell line derived from the ASCITES of a patient with SEROUS CYSTADENOCARCINOMA OF THE OVARY has been characterized,0,1
4777,HAEMATURIA,REL CELL CARCINOMA,The major symptoms are the same as in the classic REL CELL CARCINOMA: HAEMATURIA and flank pain,0,1
4778,CHEST PAIN,MALIGNT PLEURAL MESOTHELIOMA,"In patients with MALIGNT PLEURAL MESOTHELIOMA, radiotherapy is useful in the palliation of symptoms of CHEST PAIN and painful masses",0,1
4779,METRORRHAGIA,ENDOMETRIAL CARCINOMA,"The simple hyperplasia predomites in the perimenopause, while the ENDOMETRIAL CARCINOMA was the most frequent cause for METRORRHAGIA in the postmenopausal women",0,1
4780,HYPERTENSION,PHEOCHROMOCYTOMA,"Assessment of catecholamine production and excretion is important in the laboratory detection of PHEOCHROMOCYTOMA, a rare but curable cause of HYPERTENSION",0,1
4781,MALAISE,LYMPHOMATOID GRANULOMATOSIS,"In a 49 year old woman presenting with fever, MALAISE and pulmory masses the diagnosis of LYMPHOMATOID GRANULOMATOSIS was established histologically by open lung biopsy",0,1
4782,HYPERTENSION,PHEOCHROMOCYTOMA,The key to diagnosis is always to think of PHEOCHROMOCYTOMA in the differential diagnosis of HYPERTENSION,0,1
4783,ABDOMIL PAIN,PHAEOCHROMOCYTOMA,"This report is of a patient with spontaneous rupture of PHAEOCHROMOCYTOMA who presented with ABDOMIL PAIN and a tender abdomil mass. Ruptured phaeochromocytoma is a rare surgical emergency, with only 30 cases reported in the literature",0,1
4784,POSTMENOPAUSAL BLEEDING,ENDOMETRIAL CANCER,Women with an increased risk and those with POSTMENOPAUSAL BLEEDING should be screened for ENDOMETRIAL CANCER,0,1
4785,HYPERTENSION,PHEOCHROMOCYTOMA,"The association of headache, palpitations, and sweating with HYPERTENSION has a high sensitivity and specificity for PHEOCHROMOCYTOMA",0,1
4786,HEADACHE,GLIOBLASTOMA,"A 54-year-old man and a 63-year-old woman presented with GLIOBLASTOMA manifesting as seizure and HEADACHE, respectively",0,1
4787,SPLENIC RUPTURE,INFECTIOUS MONONUCLEOSIS,This case-report draws the attention to the possibility of a conservative surgical treatment of a SPLENIC RUPTURE in the course of INFECTIOUS MONONUCLEOSIS,0,1
4788,HYPERTENSION,PHEOCHROMOCYTOMA,b  Diazoxide is ineffective in the magement of HYPERTENSION caused by PHEOCHROMOCYTOMA,0,1
4789,LYMPHADENOPATHY,LYMPHOBLASTIC LYMPHOMA,"At the time of diagnosis, all patients had LYMPHADENOPATHY, and one had a mediastil mass. Lymph node biopsies revealed LYMPHOBLASTIC LYMPHOMA admixed with a variable number of mature eosinophils",0,1
4790,JAUNDICE,HEPATOCELLULAR CARCINOMA,We treated a patient with HEPATOCELLULAR CARCINOMA in whom JAUNDICE was caused by obstruction of the common hepatic duct because of compression by the tumor,0,1
4791,HYPERTENSION,PHAEOCHROMOCYTOMA,The recurrence of symptoms and HYPERTENSION in a patient who has previously undergone an operation for PHAEOCHROMOCYTOMA should alert the physician to the need to investigate for recurrent tumour,0,1
4792,METRORRHAGIA,ENDOMETRIAL CANCER,"Screening for complications and side effects due to treatment: tamoxifen treatment should be stopped one week prior to any surgery or long trip to avoid thromboembolic events, and any METRORRHAGIA should be investigated due to the risk for ENDOMETRIAL CANCER",0,1
4793,PALPITATIONS,PHEOCHROMOCYTOMA,"History  Recurrence of disease  Ask about symptoms of MTC including neck nodules, dysphagia, dysphonia  Yearly; more often if symptoms appear or there is evidence of progressive disease History  Recurrence/progression of disease  Ask about symptoms of metastatic MTC including flushing, diarrhea, weight loss, bone pain  Yearly; more often if symptoms appear or there is evidence of progressive disease History  Recurrence/progression of disease  Ask about symptoms of PHEOCHROMOCYTOMA including headaches, sweating, PALPITATIONS; and of hyperparathyroidism including hematuria, and uriry stones  Yearly; more often if symptoms appear",0,1
4794,HYPERTENSION,PHEOCHROMOCYTOMA,Plasma volume tends to be high in HYPERTENSION due to primary aldosteronism or rel parenchymal disease and may be quite low in hypertension due to PHEOCHROMOCYTOMA,0,1
4795,HYPERTENSION,PHEOCHROMOCYTOMA,Evidence: ? Patients with identifiable causes of HYPERTENSION such as PHEOCHROMOCYTOMA and rel disease have unique perioperative considerations ( 12,0,1
4796,HEADACHE,PHAEOCHROMOCYTOMA,"Factors such as hypertension, sustained or paroxysmal, in association with the most common symptoms of HEADACHE, sweating and palpitations, can be used to provide a suspicion of PHAEOCHROMOCYTOMA",0,1
4797,HEPATOMEGALY,PRIMARY AMYLOIDOSIS,"A 74-year-old man with HEPATOMEGALY, hyperglycemia, and proteinuria was diagnosed with PRIMARY AMYLOIDOSIS with liver involvement, proven by biopsy",0,1
4798,SEIZURES,GANGLIOGLIOMA,We present a rare case of an adult patient without SEIZURES who is found to have a GANGLIOGLIOMA occurring in the cerebellopontine angle,0,1
4799,ABDOMIL PAIN,HEREDITARY ANGIONEUROTIC OEDEMA,"Two patients with HEREDITARY ANGIONEUROTIC OEDEMA, a condition characterized by repeated episodes of ABDOMIL PAIN and oedema, and by an absence of complement-1 esterase inhibitor activity in the plasma are presented in detail",0,1
4800,HALLUCITIONS,SCHIZOPHRENIA,"Note that in severe PTSD individuals may experience frank psychotic symptoms such as HALLUCITIONS and delusions  In SCHIZOPHRENIA or schizoaffective disorder, more pervasive symptoms are likely, including thought disorders and nontrauma-related hallucitions and delusions Developmental disabilities  Poor role functioning and illogical thinking may be related to borderline intellectual functioning or developmental disabilities such as Asperger's syndrome ; refer to a psychiatrist if observation suggests the possible need for further evaluation such as intelligence testing  In schizophrenia or schizoaffective disorder, there is usually some period of",0,1
4801,HALLUCITIONS,SCHIZOPHRENIA,"Their effects are more pronounced on the positive symptoms of SCHIZOPHRENIA, such as HALLUCITIONS, delusions, disordered thinking, and paranoia, than on the negative symptoms, such as deficits in social interaction, emotiol expression, and motivation",0,1
4802,HYDROCEPHALUS,AQUEDUCTAL STENOSIS,An 11-year-old girl with obstructive HYDROCEPHALUS developed akinetic mutism after treatment for hydrocephalus due to AQUEDUCTAL STENOSIS by ventriculoperitoneal shunting,0,1
4803,NEPHRITIS,SYSTEMIC LUPUS ERYTHEMATOSUS,"To evaluate the results, the long-term prognosis and the rates of complication of an immunosuppressive regimen with corticosteroids and cyclophosphamide in the treatment of the NEPHRITIS of SYSTEMIC LUPUS ERYTHEMATOSUS, 21 patients with lupus glomerulonephritis were studied",0,1
4804,BREAST MASS,CARCINOMA,"She presented in 1982 with a BREAST MASS that mimicked CARCINOMA on physical examition and mammograms, but excisiol biopsy and histologic examition revealed a breast abscess that contained caseous material and a solitary acid-fast bacillus",0,1
4805,DEPRESSION,EPILEPSY,"Premorbid psychiatric conditions occurred at higher rates in the EPILEPSY versus nonepilepsy groups, foremost including DEPRESSION , anxiety , psychosis , and substance abuse (8% vs 4%",0,1
4806,PNEUMONIA,MALNUTRITION,"Morbidity from conditions such as gastroenteritis, measles, and PNEUMONIA was often accompanied by MALNUTRITION",0,1
4807,VASCULITIS,LYMPHOPENIA,"Lupus manifestations associated with VASCULITIS in univariate logistic regression included myocarditis, psychosis, Rayud's phenomenon, serositis, leukopenia, LYMPHOPENIA and pleuritis",0,1
4808,AGORAPHOBIA WITH PANIC DISORDER,HYPOGLYCAEMIA,"This case report describes a man with Type 1 diabetes who developed AGORAPHOBIA WITH PANIC DISORDER, associated with fear of HYPOGLYCAEMIA and deterioration in glycaemic control",0,1
4809,LEAKAGE,THROMBUS,"At autopsy examition a THROMBUS was lodged in the appendage, which presumably resulted in immobilization of the catheter and LEAKAGE of the fluid through an attenuated and necrotic myocardial wall",0,1
4810,HYPERPLASIA,CARCINOMA IN SITU,"For example, carcinogenesis in the bronchial epithelium starts with normal epithelium and progresses through HYPERPLASIA, metaplasia, dysplasia, and CARCINOMA IN SITU to invasive squamous cell cancer",0,1
4811,VASCULAR DISEASE,VASCULAR INJURY,"VASCULAR DISEASEs, such as atherosclerosis, thromboembolic disorders and stroke, in addition to surgical procedures such as restenosis, all share the plasminogen activator system as a central component in the pathogenesis of VASCULAR INJURY",0,1
4812,VENTRICULAR ARRHYTHMIA,MYOCARDIAL INFARCTION,"STUDY SELECTION, DATA EXTRACTION AND SYNTHESIS: CAST tested the hypothesis that suppression of VENTRICULAR ARRHYTHMIAs recorded on a Holter monitor in patients with MYOCARDIAL INFARCTION would lead to a decrease in subsequent mortality, presumably by preventing sudden death",0,1
4813,AGGRESSIVENESS,MALIGNT GLIOMA,"The observations suggest that, in spite of the glioblastoma's cytologic heterogeneity, the pathologic substrate of AGGRESSIVENESS in this MALIGNT GLIOMA is related largely to the proliferation of a population of small aplastic cells",0,1
4814,SYSTEMIC ARTERIAL PRESSURE,HEART DISEASE,"These changes, which are similar to those found in HEART DISEASEs with other causes, are considered secondary to hypoxemia following congestive heart failure, abrupt transitory fall of SYSTEMIC ARTERIAL PRESSURE and cerebral blood flow, cardiac arrhythmias and thromboembolism",0,1
4815,VALVULAR ABNORMALITY,FAMILIAL HYPERCHOLESTEROLEMIA,Cardiology . VALVULAR ABNORMALITY associated with FAMILIAL HYPERCHOLESTEROLEMIA,0,1
4816,DEFICIENCY,HYPERSEGMENTED NEUTROPHIL,Hematology . DEFICIENCY associated with HYPERSEGMENTED NEUTROPHILs,0,1
4817,RECURRENT ABDOMIL PAIN,PAROXYSMAL NOCTURL HEMOGLOBINURIA,Hematology . Important cause of RECURRENT ABDOMIL PAIN in patients with PAROXYSMAL NOCTURL HEMOGLOBINURIA,0,1
4818,ECTOPIC THYROID TISSUE,OVARIAN TERATOMA,Emergency Medicine . me for ECTOPIC THYROID TISSUE in an OVARIAN TERATOMA,0,1
4819,SICKLE CELL DISEASE,ACUTE CHEST SYNDROME,Hematology . Best therapy for ACUTE CHEST SYNDROME associated with SICKLE CELL DISEASE,0,1
4820,INFESTATION,BLADDER CANCER,Nephrology . INFESTATION with this organism is linked to BLADDER CANCER,0,1
4821,OBSTRUCTIVE JAUNDICE,CANCER,Oncology . Most likely pancreatic location of CANCER associated with OBSTRUCTIVE JAUNDICE,0,1
4822,SPLENOMEGALY,MYELOFIBROSIS,Hematology . Cause of SPLENOMEGALY and hepatomegaly in MYELOFIBROSIS,0,1
4823,RESPIRATORY PATTERN,METABOLIC ACIDOSIS,PE . Eponym for RESPIRATORY PATTERN associated with METABOLIC ACIDOSIS,0,1
4824,ELEVATED CRP,THYROTOXICOSIS,Emergency Medicine . Elevated ESR and/or ELEVATED CRP in patients with THYROTOXICOSIS suggests this diagnosis,0,1
4825,SPLENIC VEIN THROMBOSIS,GASTRIC VARICES,Gastroenterology . Treatment for GASTRIC VARICES associated with SPLENIC VEIN THROMBOSIS,0,1
4826,ENOUS THROMBOSIS I,THERAPY WITH WARFARIN T, A randomized controlled trial comparing heparin THERAPY WITH WARFARIN Therapy for the long term treatment of vENOUS THROMBOSIS In 106 nonpregnt patients found that adjusted dose subcutaneous heparin therapy provides an effective altertive to warfarin and is associated with a lower risk of bleeding ( 109.,0,1
4827,TYPE 1 DIABETES MELLITUS,LISPRO,"Insulin LISPRO reduced nocturl hypoglycemic episodes in TYPE 1 DIABETES MELLITUS when used to achieve tight glycemic control  Keywords: Blood glucose Diabetes mellitus, insulin dependent Hypoglycemia Hypoglycemic agents Insulin.",0,1
4828,TOXOPLASMOSIS,INTERMITTENT TRIMETHOPRIM SULFAMETHOXAZOLE,"Podzamczer D, Salazar A, Jimenez J et al. INTERMITTENT TRIMETHOPRIM SULFAMETHOXAZOLE compared with dapsone pyrimethamine for the simultaneous primary prophylaxis of pneumocystis pneumonia and TOXOPLASMOSIS in patients infected with HIV.",0,1
4829,SEIZURES,LAMOTRIGINE,"Antiepileptic agents often include phenytoin or carbamazepine for partial seizures, valproic acid for absence seizures, and any of these agents or phenobarbital, with or without newer drugs, such as gabapentin or LAMOTRIGINE for generalized SEIZURES",0,1
4830,STEVENSON KE BUCHAN RB ET AL,CYCLOPHOSPHAMIDE,"Williams CJ, STEVENSON KE BUCHAN RB ET AL Advanced ovarian carcinoma: a pilot study of  cis  dichlorodiammineplatinum (II) in combition with adriamycin and CYCLOPHOSPHAMIDE in previously untreated patients and as a single agent in previously treated patients.",0,1
4831,OCD,FLUOXETINE,TREATMENT: Drugs such as clomipramine and FLUOXETINE have been used to treat OCD,0,1
4832,MI,ASPIRIN,"• In the HOT study, treatment of hypertensive adults 50 to 80 years, with 75 mg/d of ASPIRIN in addition to treatment with antihypertensive agents, significantly reduced clinically apparent MI and major cardiovascular events ( 26.",0,1
4833,CRYPTOCOCCAL MENINGITIS,AMPHOTERICIN B,"427 ,   441  HIV infected infants and children with CRYPTOCOCCAL MENINGITIS who cannot receive AMPHOTERICIN B   +   : Induction therapy with 100 mg/kg daily in 4 divided doses in conjunction with oral or IV flucozole given for at least 2 weeks, then consolidation therapy with oral or IV flucozole alone for at least 8 weeks.",0,1
4834,FUNGAL INFECTION,ORAL AMPHOTERICIN B,"Menichetti F, Del Favero A, Martino P et al. Preventing FUNGAL INFECTION in neutropenic patients with acute leukemia: flucozole compared with ORAL AMPHOTERICIN B.",0,1
4835,OBSESSIVE COMPULSIVE DISORDER,COMBITION TREATMENT WITH CLOMIPRAMINE AND SELECTIVE SEROTONIN,"Fiqueroa Y, Rosenberg DR, Birmaher B et al. COMBITION TREATMENT WITH CLOMIPRAMINE AND SELECTIVE SEROTONIN reuptake inhibitors for OBSESSIVE COMPULSIVE DISORDER in children and adolescents.",0,1
4836,TYPE 2 DIABETES MELLITUS,INSULIN LISPRO,"Bastyr EJ, Johnson ME, Trautman ME et alINSULIN LISPRO in the treatment of patients with TYPE 2 DIABETES MELLITUS after oral agent failure.",0,1
4837,FEBRILE NEUTROPENIA,MEROPENEM,"1  Feld R, DePauw B, Berman S, Keating A, Ho WMEROPENEM versus ceftazidime in the treatment of cancer patients with FEBRILE NEUTROPENIA: a randomized, double blind trial.",0,1
4838,TYPE 1 DIABETES,ACTING INSULIN ALOG LISPRO,"Lalli C, Ciofetta M, Del Sindaco P et al. Long term intensive treatment of TYPE 1 DIABETES with the short ACTING INSULIN ALOG LISPRO in variable combition with NPH insulin at mealtime.",0,1
4839,CANCER RELATED HYPERCALCEMIA,GALLIUM NITRATE,"Warrell RP Jr, Israel R, Frisone M et al. GALLIUM NITRATE for acute treatment of CANCER RELATED HYPERCALCEMIA: a randomized, double blind comparison to calcitonin.",0,1
4840,BIPOLAR DISORDER,VALPROIC ACID,"106 , 107   Furthermore, it is also approved as adjunct treatment with lithium and VALPROIC ACID for both acute mania and maintence treatment of BIPOLAR DISORDER",0,1
4841,REL CELL CARCINOMA,INTERFERON ALPHA,"Boccardo F, Rubagotti A, Canobbio L et al. Interleukin 2, interferon alpha and interleukin 2 plus INTERFERON ALPHA in REL CELL CARCINOMA",0,1
4842,CHRONIC HEPATITIS C,RIBAVIRIN,"1  Manns MP, McHutchison JG, Gordon S, et al. Peginterferon α 2b plus ribavirin compared to interferon α 2b plus RIBAVIRIN for the treatment of CHRONIC HEPATITIS C: 24 week treatment alysis of a multicenter, multitiol phase III randomized controlled trial Abstract.",0,1
4843,RECURRENT SEIZURES,MAGNESIUM SULFATE,• Administer MAGNESIUM SULFATE to patients with eclampsia to prevent RECURRENT SEIZURES,0,1
4844,ASPERGILLOSIS,AMPHOTERICIN B,"Herbrecht R, Denning DW, Patterson TF et al. Voricozole versus AMPHOTERICIN B for primary therapy of invasive ASPERGILLOSIS",0,1
4845,ORAL CANDIDIASIS,FLUCOZOLE,TREATMENT: ORAL CANDIDIASIS is treated with a single dose of FLUCOZOLE or with clotrimazole lozenges or nystatin oral solution (which must be held in the mouth for several minutes before swallowing) for 14 days.,0,1
4846,VISCERAL LEISHMANIASIS,LIPOSOMAL AMPHOTERICIN B,"di Martino L, Davidson RN, Giacchinno R et al. Treatment of VISCERAL LEISHMANIASIS in children with LIPOSOMAL AMPHOTERICIN B.",0,1
4847,DRUG SUSCEPTIBLE PULMORY TUBERCULOSIS,RIFAMPICIN,"Betor D, Bhattacharya M, Bozeman L, et al: Rifapentine and isoniazid once a week versus RIFAMPICIN and isoniazid twice a week for treatment of DRUG SUSCEPTIBLE PULMORY TUBERCULOSIS in HIV negative patients: a randomised clinical trial.",0,1
4848,CRYPTOCOCCAL MENINGITIS,HIGH DOSE FLUCOZOLE,"Nussbaum JC, Jackson A, marika D et al. Combition flucytosine and HIGH DOSE FLUCOZOLE compared with flucozole monotherapy for the treatment of CRYPTOCOCCAL MENINGITIS: a randomized trial in Malawi.",0,1
4849,MALIGNT HYPERTHERMIA,DANTROLENE SODIUM,"Treatment     DANTROLENE SODIUM the only available medical treatment for MALIGNT HYPERTHERMIA    The current treatment of choice is the intravenous administration of dantrolene, the only known antidote, discontinuation of triggering agents, and supportive therapy directed at correcting hyperthermia, acidosis, and organ dysfunction.",0,1
4850,TYPE 2 DIABETES,METFORMIN,"STUDY SELECTION  Clinical trials and cohort studies were selected if they included patients with TYPE 2 DIABETES lasted ≥ 1 month, compared METFORMIN alone or combined with other treatments with placebo or any other hypoglycemic therapy, and reported the number of patients and duration of treatment.",0,1
4851,OBSESSIVE COMPULSIVE DISORDER,FLUOXETINE,"Geller DA, Hoog SL, Heiligenstein JH et alFLUOXETINE treatment for OBSESSIVE COMPULSIVE DISORDER in children and adolescents: a placebo controlled clinical trial.",0,1
4852,HYPERTENSION,CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE    (              audio )  A centrally acting alpha agonist drug used to treat HYPERTENSION and opiate withdrawal.,0,1
4853,CHRONIC HEPATITIS C VIRUS (HCV INFECTION),RIBAVIRIN,b  Treatment of CHRONIC HEPATITIS C VIRUS (HCV INFECTION)  >    Concomitant Therapy with Interferon Alfa 2b (Intron ®  A) and RIBAVIRIN  Sub Q:  Children ≥3 years of age: Interferon alfa 2b 3 million units 3 times weekly.,0,1
4854,PREPRANDIAL HYPERGLYCEMIA,INSULIN ASPART,Some patients may require more basal insulin and a greater total daily insulin dosage to prevent PREPRANDIAL HYPERGLYCEMIA when using INSULIN ASPART than when using insulin human (regular.,0,1
4855,MI,CLOPIDOGREL THERAPY,"In the ISAR REACT 2 trial by Kastrati and colleagues, abciximab showed clinical benefit over placebo following CLOPIDOGREL THERAPY by reducing a composite endpoint of death, MI or urgent target vessel revascularization.",0,1
4856,CHRONIC HEPATITIS C,RIBAVIRIN,"Carrat F, Bani Sadr F, Pol S, et al: Pegylated interferon alfa 2b vs standard interferon alfa 2b, plus RIBAVIRIN for CHRONIC HEPATITIS C in HIV infected patients: a randomized controlled trial.",0,1
4857,TYPE 1 DIABETES MELLITUS,INSULIN LISPRO,"1  Pediatric Use  Safety and efficacy of insulin lispro in fixed combition with insulin lispro protamine not established in children   165  Insulin lispro has been used in children aged 3 18 years of age with TYPE 1 DIABETES MELLITUS  1 ,   51 ,   74   and prelimiry data suggest no unusual effects of INSULIN LISPRO therapy in adolescents receiving the drug.",0,1
4858,GIARDIA,METRONIDAZOLE,"It also interferes with glucose uptake of the organism.28  edit Special circumstances in magement therapy edit Drug use during pregncy and lactation  Pregnt patients who are infected but asymptomatic are advised not to receive treatment for GIARDIA because there are underlying risks in current therapies.28 For instance, METRONIDAZOLE is rapidly absorbed and easily enters fetal circulation.",0,1
4859,PRIMARY BILIARY CIRRHOSIS,COLCHICINE,"ADDITIOL RESOURCES  Article  Alimentary Pharmacology & Therapeutics  Ten year combition treatment with COLCHICINE and ursodeoxycholic acid for primary biliary cirrhosis: a double blind, placebo controlled trial on symptomatic patients  American Jourl of Gastroenterology  Incomplete response to ursodeoxycholic acid in PRIMARY BILIARY CIRRHOSIS: is a double dosage worthwhile.",0,1
4860,ORAL CANDIDIASIS,NYSTATIN,"Treatment  ORAL CANDIDIASIS can be treated with topical anti fungal drugs, such as NYSTATIN micozole, Gentian violet or amphotericin B. Topical therapy is given as an oral suspension which is washed around the mouth and then swallowed by the patient.",0,1
4861,VENOUS THROMBOEMBOLISM,WARFARIN,"Exclusion criteria included anticoagulant therapy for reasons other than VENOUS THROMBOEMBOLISM major psychiatric disorders, life expectancy   INTERVENTION  After 3 months of therapy with WARFARIN (97% of patients) or acenocoumarol, 133 patients were allocated to discontinue (3 mo treatment group) and 133 patients to continue (1 y treatment group) oral anticoagulant therapy for 9 additiol months.",0,1
4862,DECOMPRESSION SICKNESS,OXYGEN,"Further information: Hyperbaric medicine  All cases of DECOMPRESSION SICKNESS should be treated initially with 100% oxygen until hyperbaric OXYGEN therapy (100% oxygen delivered in a high pressure chamber) can be provided.69 Mild cases of the 'bends' and some skin symptoms may disappear during descent from high altitude; however, it is recommended that these cases still be evaluated",0,1
4863,OSTEOARTHRITIS,CHONDROITIN SULFATE,"In general, CHONDROITIN SULFATE combined with these other agents was found to alleviate symptoms of OSTEOARTHRITIS compared to placebo.",0,1
4864,SEVERE HYPERTENSION,PROPRANOLOL,"Trust PM, Rosei EA, Brown JJ et al. Effect of blood pressure, angiotensin II and aldosterone concentrations during treatment of SEVERE HYPERTENSION with intravenous labetalol: comparison with PROPRANOLOL",0,1
4865,VISCERAL LEISHMANIASIS,LIPOSOMAL AMPHOTERICIN B,"Davidson RN, di Martino L, Gradoni L et al. Short course treatment of VISCERAL LEISHMANIASIS with LIPOSOMAL AMPHOTERICIN B (AmBisome.",0,1
4866,PRESUMPTIVE CHLAMYDIAL INFECTION,AZITHROMYCIN,"Treatment for PRESUMPTIVE CHLAMYDIAL INFECTION in men with NGU is with AZITHROMYCIN in a single 1 g oral dose or doxycycline, 100 mg orally twice a day for 7 days.",0,1
4867,RCC,INTERFERON ALPHA,"RCC is resistant to chemotherapy and radiotherapy in most cases, but does respond well to immunotherapy with interleukin 2 or INTERFERON ALPHA biologic, or targeted therapy.",0,1
4868,PDA,INDOMETHACIN,"Zarfin Y, Koren G, Perlman M. Digoxin and INDOMETHACIN in preterm infants with PDA",0,1
4869,PANIC DISORDER,PAROXETINE,"Oehrberg S, Christiansen PE, Behnke K et alPAROXETINE in the treatment of PANIC DISORDER: a randomised, double blind, placebo controlled study.",0,1
4870,INVASIVE ASPERGILLOSIS,IV AMPHOTERICIN B LIPOSOMAL,"244 ,   248 ,   268 ,   269 ,   288 ,   396 ,   379 ,   420 ,   423 ,   436  IDSA considers voricozole the drug of choice for primary treatment of INVASIVE ASPERGILLOSIS in most patients and IV AMPHOTERICIN B LIPOSOMAL the preferred altertive.",0,1
4871,PRESUMPTIVE BLASTOMYCOSIS,AMPHOTERICIN B,"36 ,   49 ,   50 ,   51 ,   52 ,   436  IV AMPHOTERICIN B is preferred for initial treatment of severe blastomycosis, especially infections involving the CNS  51 ,   52 ,   55 ,   56 ,   50 ,   51 ,   52 ,   53 ,   54 ,   61 ,   424 ,   436   and for initial treatment of PRESUMPTIVE BLASTOMYCOSIS in immunocompromised patients, including HIV infected individuals.",0,1
4872,SARCOMA (AIDS/KS,(IFN Α PLUS ZIDOVUDINE (ZDV IN AIDS,"Krown SE, Bundow B, Gansbacher W et al. Interferon α (IFN Α PLUS ZIDOVUDINE (ZDV IN AIDS associated Kaposi's SARCOMA (AIDS/KS: an ongoing phase I trial.",0,1
4873,OSTEOARTHRITIS,CHONDROITIN SULFATE,"Glucosamine and CHONDROITIN SULFATE have been studied in OSTEOARTHRITIS without significant clinical benefit, and few data support their use in RA.",0,1
4874,MYCOPLASMA  PNEUMONIA,AZITHROMYCIN,"96   In animal models of  MYCOPLASMA  PNEUMONIA treatment with antimycoplasmal agents such as ketolides, quinolones, clarithromycin, and AZITHROMYCIN also has not eradicated this organism from the respiratory tract.",0,1
4875,SEVERE BLASTOMYCOSIS,IV AMPHOTERICIN B,"436 ,   448  IV AMPHOTERICIN B is preferred for initial treatment of SEVERE BLASTOMYCOSIS especially infections involving the CNS,  146 ,   269 ,   288 ,   319 ,   320 ,   321 ,   322 ,   424 ,   436 ,   448   and for initial treatment of presumptive blastomycosis in immunocompromised patients, including HIV infected individuals.",0,1
4876,NON GONOCOCCAL URETHRITIS,AZITHROMYCIN,"AZITHROMYCIN as the first line treatment of NON GONOCOCCAL URETHRITIS (NGU): a study of follow up rates, contact attendance and patients' treatment preference.",0,1
4877,INVASIVE ASPERGILLOSIS,AMPHOTERICIN B,"White MH, Aissie EJ, Kusne S et al. Amphotericin B colloidal dispersion vsAMPHOTERICIN B as therapy for INVASIVE ASPERGILLOSIS",0,1
4878,HYPOTHYROIDISM,LEVOTHYROXINE,Bioequivalence of generic and brand me LEVOTHYROXINE products in the treatment of HYPOTHYROIDISM,0,1
4879,ANGI,ENOXAPARIN,ENOXAPARIN reduced combined corory events in unstable ANGI and non Q wave MI at 14 and 30 days.,0,1
4880,OSTEOMYELITIS,CIPROFLOXACIN,"Slama TG, Misinski J, Sklar S et al. Oral CIPROFLOXACIN therapy for OSTEOMYELITIS caused by aerobic gram negative bacilli.",0,1
4881,FEVER,IBUPROFEN,"SEE:   epilepsy  TREATMENT: Appropriate therapy, such as acetaminophen or IBUPROFEN should be instituted to reduce the FEVER",0,1
4882,TB,INH,"The incidence of active TB was significantly reduced compared to placebo with INH (RR, 0.33 CI, 0.14 to 0.77) and INH and RIF (RR, 0.4 CI, 0.18 to 0.86.",0,1
4883,HYPOGLYCEMIA,POSTPRANDIAL BLOOD GLUCOSE CONTROL,"Roach P, Trautmann M, Arora V et al. Improved POSTPRANDIAL BLOOD GLUCOSE CONTROL and reduced nocturl HYPOGLYCEMIA during treatment with two novel insulin lispro protamine formulations, insulin lispro mix25 and insulin lispro mix50.",0,1
4884,WITHDRAWAL SYNDROME,ORAL CLONIDINE,"b  WITHDRAWAL SYNDROME (reported in about 1% of patients receiving ORAL CLONIDINE is more pronounced after abrupt cessation of long term therapy than after short term (1 2 months) therapy, and has usually been associated with previous administration of high oral dosages (>1.2 mg daily) and/or with continuation of concomitant β adrenergic blocking therapy.",0,1
4885,SEVERE HYPERTENSION,METHYLDOPA,"Wallin JD, Wilson D, Winer N et al. Treatment of SEVERE HYPERTENSION with labetalol compared with METHYLDOPA and furosemide.",0,1
4886,MI,CLOPIDOGREL,"In patients with ST elevation myocardial infarction (STEMI) treated with fibrinolytics, does CLOPIDOGREL pretreatment before percutaneous corory intervention (PCI) reduce cardiovascular death, recurrent MI or stroke.",0,1
